id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0
DG99-3166,Enemigo Set x6 botellas Enemigo Malbec — 87.000 puntos,Enemigo Set x6 botellas Enemigo Malbec,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Enemigo/DG99-3166/DG99-3166,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34298883&catalogid=132097&languageid=es_ar&imagetype=master1,Enemigo,Bebidas,87.000 puntos
DG99-3165,Enemigo Set x6 Gran Enemigo Chacayes — 148.300 puntos,Enemigo Set x6 Gran Enemigo Chacayes,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Enemigo/DG99-3165/DG99-3165,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34298627&catalogid=132097&languageid=es_ar&imagetype=master1,Enemigo,Bebidas,148.300 puntos
DG99-3164,Samsung Celular galaxy S26+ 256GB — 684.400 puntos,Samsung Celular galaxy S26+ 256GB,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Samsung/DG99-3164/DG99-3164,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34298371&catalogid=132097&languageid=es_ar&imagetype=master1,Samsung,Bebidas,684.400 puntos
DG99-3201,Hudson Set de 4 cuchillos — 24.100 puntos,Hudson Set de 4 cuchillos,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Hudson/DG99-3201/DG99-3201,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34425091&catalogid=132097&languageid=es_ar&imagetype=master1,Hudson,Cocina,24.100 puntos
DG99-3145,"Smart Life Pava eléctrica 1,7L — 24.300 puntos","Smart Life Pava eléctrica 1,7L",in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Smart-Life/DG99-3145/DG99-3145,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34292227&catalogid=132097&languageid=es_ar&imagetype=master1,Smart Life,Cocina,24.300 puntos
DG99-3149,Hudson Batería de cocina 5 piezas — 31.700 puntos,Hudson Batería de cocina 5 piezas,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Hudson/DG99-3149/DG99-3149,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34293251&catalogid=132097&languageid=es_ar&imagetype=master1,Hudson,Cocina,31.700 puntos
DG99-3109,Ariete Espumador de Leche — 32.500 puntos,Ariete Espumador de Leche,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Ariete/DG99-3109/DG99-3109,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34272259&catalogid=132097&languageid=es_ar&imagetype=master1,Ariete,Cocina,32.500 puntos
DG99-3117,SmartLife Horno eléctrico 40L — 45.800 puntos,SmartLife Horno eléctrico 40L,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/SmartLife/DG99-3117/DG99-3117,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34274307&catalogid=132097&languageid=es_ar&imagetype=master1,SmartLife,Cocina,45.800 puntos
DG99-3189,Black & Decker Horno eléctrico 30L — 49.500 puntos,Black & Decker Horno eléctrico 30L,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Black-Decker/DG99-3189/DG99-3189,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34428163&catalogid=132097&languageid=es_ar&imagetype=master1,Black & Decker,Cocina,49.500 puntos
DG99-3114,"Philips Freidora de aire 6,2L — 53.500 puntos","Philips Freidora de aire 6,2L",in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Philips/DG99-3114/DG99-3114,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34273539&catalogid=132097&languageid=es_ar&imagetype=master1,Philips,Cocina,53.500 puntos
DG99-3116,Peabody Freidora de aire XL 9L — 55.000 puntos,Peabody Freidora de aire XL 9L,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Peabody/DG99-3116/DG99-3116,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34274051&catalogid=132097&languageid=es_ar&imagetype=master1,Peabody,Cocina,55.000 puntos
DG99-3108,Ariete Cafetera — 67.500 puntos,Ariete Cafetera,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Ariete/DG99-3108/DG99-3108,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34287363&catalogid=132097&languageid=es_ar&imagetype=master1,Ariete,Cocina,67.500 puntos
DG99-3118,Oster Horno eléctrico con Airfryer — 67.500 puntos,Oster Horno eléctrico con Airfryer,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Oster/DG99-3118/DG99-3118,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34274563&catalogid=132097&languageid=es_ar&imagetype=master1,Oster,Cocina,67.500 puntos
DG99-3184,Black & Decker Horno eléctrico 43L — 78.200 puntos,Black & Decker Horno eléctrico 43L,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Black-Decker/DG99-3184/DG99-3184,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34424323&catalogid=132097&languageid=es_ar&imagetype=master1,Black & Decker,Cocina,78.200 puntos
DG99-3107,Philips Cafetera Expresso — 252.500 puntos,Philips Cafetera Expresso,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Philips/DG99-3107/DG99-3107,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34287107&catalogid=132097&languageid=es_ar&imagetype=master1,Philips,Cocina,252.500 puntos
DG99-3222,Black & Decker Cafetera de filtro — 16.200 puntos,Black & Decker Cafetera de filtro,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Black-Decker/DG99-3222/DG99-3222,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34604547&catalogid=132097&languageid=es_ar&imagetype=master1,Black & Decker,Coffee Break,16.200 puntos
DG99-3211,Oster Pava Eléctrica — 18.500 puntos,Oster Pava Eléctrica,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Oster/DG99-3211/DG99-3211,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34441475&catalogid=132097&languageid=es_ar&imagetype=master1,Oster,Coffee Break,18.500 puntos
